World,Goals,Plans,Model,Step,Time,Cost,Prob,Results
10,3,10,0,1,162267300,50/65/65/,0.4015455272070493/0.2992272363964754/0.2992272363964754/,0/
10,3,10,0,2,19294400,50/95/95/,0.5471608321814075/0.22641958390929623/0.22641958390929623/,0/
10,3,10,0,4,18893900,50/154/201/,0.8460888095823226/0.11010215797664807/0.04380903244102941/,0/
10,3,10,0,5,16489900,50/252/313/,0.9757926245497026/0.018587062520059372/0.005620312930238047/,0/
10,3,10,0,6,12346600,50/395/475/,0.998607784695839/0.001152180473805243/2.4003483035578963E-4/,0/
10,3,10,0,1,8294000,50/61/61/,0.382851874279199/0.30857406286040057/0.30857406286040057/,0/
10,3,10,0,2,8812700,50/72/91/,0.4768291566369227/0.309756255469786/0.21341458789329118/,0/
10,3,10,0,4,13428000,50/207/243/,0.9356673853565248/0.043070085458847704/0.02126252918462748/,0/
10,3,10,0,5,8577800,50/325/375/,0.9937789982827887/0.004523825490996653/0.0016971762262146426/,0/
10,3,10,0,6,9004100,50/468/535/,0.999650268023827/2.7563632490426723E-4/7.409565126878112E-5/,0/
10,3,10,0,1,13164000,50/65/65/,0.4015455272070493/0.2992272363964754/0.2992272363964754/,0/
10,3,10,0,2,7804500,50/100/100/,0.5713215241332831/0.2143392379333584/0.2143392379333584/,0/
10,3,10,0,4,9594200,50/217/254/,0.9468342617042406/0.035823863870903354/0.017341874424856102/,0/
10,3,10,0,5,8072200,50/307/355/,0.9910737333220994/0.0064209960152855775/0.002505270662615133/,0/
10,3,10,0,6,9157900,50/430/492/,0.9992474626322834/5.804347229644198E-4/1.7210264475227348E-4/,0/
10,3,10,0,1,7569400,50/61/61/,0.382851874279199/0.30857406286040057/0.30857406286040057/,0/
10,3,10,0,2,8768000,50/95/95/,0.5471608321814075/0.22641958390929623/0.22641958390929623/,0/
10,3,10,0,4,7564300,50/249/249/,0.9611646049025242/0.01941769754873792/0.01941769754873792/,0/
10,3,10,0,5,6886900,50/381/381/,0.9969726898698752/0.0015136550650624104/0.0015136550650624104/,0/
10,3,10,0,6,6503500,50/521/521/,0.9998049670402/9.751647989998828E-5/9.751647989998828E-5/,0/
10,3,10,0,1,7428700,50/65/65/,0.4015455272070493/0.2992272363964754/0.2992272363964754/,0/
10,3,10,0,2,10006900,50/95/95/,0.5471608321814075/0.22641958390929623/0.22641958390929623/,0/
10,3,10,0,4,13520100,50/231/231/,0.9456214433929782/0.027189278303510974/0.027189278303510974/,0/
10,3,10,0,5,7691200,50/362/362/,0.9956120690135033/0.0021939654932483293/0.0021939654932483293/,0/
10,3,10,0,6,7946300,50/542/542/,0.9998707860325532/6.460698372338712E-5/6.460698372338712E-5/,0/
10,3,10,0,1,8335500,50/50/65/,0.36427366809978134/0.36427366809978134/0.2714526638004373/,0/1/
10,3,10,0,2,8636900,50/80/100/,0.5180084820259346/0.2876534113380679/0.19433810663599754/,0/
10,3,10,0,4,8621300,50/180/213/,0.8935906660674352/0.0698414864213746/0.0365678475111902/,0/
10,3,10,0,5,8179100,50/284/330/,0.9859037202799854/0.01002742068559937/0.0040688590344152365/,0/
10,3,10,0,6,7702700,50/436/499/,0.9993339001145192/5.160567732746847E-4/1.5004311220615356E-4/,0/
10,3,10,0,1,6769800,50/61/61/,0.382851874279199/0.30857406286040057/0.30857406286040057/,0/
10,3,10,0,2,7882000,50/72/91/,0.4768291566369227/0.309756255469786/0.21341458789329118/,0/
10,3,10,0,4,9243500,50/191/225/,0.9129609146730909/0.05751162996130663/0.02952745536560255/,0/
10,3,10,0,5,8768000,50/295/343/,0.9887324468633405/0.008105170549254092/0.0031623825874053826/,0/
10,3,10,0,6,7223000,50/455/521/,0.999546882247959/3.55626444571077E-4/9.74913074700797E-5/,0/
10,3,10,0,1,6216600,50/50/65/,0.36427366809978134/0.36427366809978134/0.2714526638004373/,0/1/
10,3,10,0,2,7529600,50/80/100/,0.5180084820259346/0.2876534113380679/0.19433810663599754/,0/
10,3,10,0,4,11668300,50/196/231/,0.9209251468804772/0.05259566285772881/0.02647919026179409/,0/
10,3,10,0,5,7917900,50/284/330/,0.9859037202799854/0.01002742068559937/0.0040688590344152365/,0/
10,3,10,0,6,7638200,50/430/492/,0.9992474626322834/5.804347229644198E-4/1.7210264475227348E-4/,0/
10,3,10,0,1,5690700,50/65/65/,0.4015455272070493/0.2992272363964754/0.2992272363964754/,0/
10,3,10,0,2,5277700,50/80/100/,0.5180084820259346/0.2876534113380679/0.19433810663599754/,0/
10,3,10,0,4,6091900,50/217/254/,0.9468342617042406/0.035823863870903354/0.017341874424856102/,0/
10,3,10,0,5,4948400,50/319/368/,0.992970248198759/0.005084470519614128/0.0019452812816268933/,0/
10,3,10,0,6,5512500,50/449/514/,0.9994881704347799/4.000018554030638E-4/1.11827709816982E-4/,0/
10,3,10,0,1,3722400,50/65/65/,0.4015455272070493/0.2992272363964754/0.2992272363964754/,0/
10,3,10,0,2,3712300,50/95/95/,0.5471608321814075/0.22641958390929623/0.22641958390929623/,0/
10,3,10,0,4,5429500,50/249/249/,0.9611646049025242/0.01941769754873792/0.01941769754873792/,0/
10,3,10,0,5,4496000,50/381/381/,0.9969726898698752/0.0015136550650624104/0.0015136550650624104/,0/
10,3,10,0,6,7136700,50/528/528/,0.9998299761569216/8.501192153916424E-5/8.501192153916424E-5/,0/
10,3,10,0,1,6498300,50/50/65/,0.36427366809978134/0.36427366809978134/0.2714526638004373/,0/1/
10,3,10,0,2,9405900,50/80/100/,0.5180084820259346/0.2876534113380679/0.19433810663599754/,0/
10,3,10,0,4,6722300,50/196/231/,0.9209251468804772/0.05259566285772881/0.02647919026179409/,0/
10,3,10,0,5,4781800,50/284/330/,0.9859037202799854/0.01002742068559937/0.0040688590344152365/,0/
10,3,10,0,6,7368100,50/442/507/,0.9994129140137399/4.588157850636705E-4/1.2827020119656637E-4/,0/
10,3,10,0,1,3812300,50/61/61/,0.382851874279199/0.30857406286040057/0.30857406286040057/,0/
10,3,10,0,2,4395200,50/95/95/,0.5471608321814075/0.22641958390929623/0.22641958390929623/,0/
10,3,10,0,4,5522700,50/207/243/,0.9356673853565248/0.043070085458847704/0.02126252918462748/,0/
10,3,10,0,5,4205300,50/319/368/,0.992970248198759/0.005084470519614128/0.0019452812816268933/,0/
10,3,10,0,6,6371300,50/455/521/,0.999546882247959/3.55626444571077E-4/9.74913074700797E-5/,0/
10,3,10,0,1,4549600,50/61/61/,0.382851874279199/0.30857406286040057/0.30857406286040057/,0/
10,3,10,0,2,6471400,50/95/95/,0.5471608321814075/0.22641958390929623/0.22641958390929623/,0/
10,3,10,0,4,5651500,50/243/243/,0.9565268995461836/0.02173655022690819/0.02173655022690819/,0/
10,3,10,0,5,7293000,50/319/368/,0.992970248198759/0.005084470519614128/0.0019452812816268933/,0/
10,3,10,0,6,6070100,50/455/521/,0.999546882247959/3.55626444571077E-4/9.74913074700797E-5/,0/
10,3,10,0,1,6691900,50/65/65/,0.4015455272070493/0.2992272363964754/0.2992272363964754/,0/
10,3,10,0,2,7182700,50/100/100/,0.5713215241332831/0.2143392379333584/0.2143392379333584/,0/
10,3,10,0,4,7999800,50/201/237/,0.928212229511504/0.04806124276115153/0.023726527727344564/,0/
10,3,10,0,5,6902400,50/295/343/,0.9887324468633405/0.008105170549254092/0.0031623825874053826/,0/
10,3,10,0,6,5584400,50/449/514/,0.9994881704347799/4.000018554030638E-4/1.11827709816982E-4/,0/
10,3,10,0,1,5122900,50/61/61/,0.382851874279199/0.30857406286040057/0.30857406286040057/,0/
10,3,10,0,2,5386600,50/91/91/,0.5276653127937448/0.23616734360312755/0.23616734360312755/,0/
10,3,10,0,4,8377600,50/213/213/,0.9243470562446102/0.03782647187769486/0.03782647187769486/,0/
10,3,10,0,5,3614500,50/284/330/,0.9859037202799854/0.01002742068559937/0.0040688590344152365/,0/
10,3,10,0,6,5486100,50/430/492/,0.9992474626322834/5.804347229644198E-4/1.7210264475227348E-4/,0/
10,3,10,1,1,3566500,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,7414900,110/50/110/,0.1907338293032638/0.6185323413934725/0.1907338293032638/,1/
10,3,10,1,5,5127000,254/50/254/,0.017668422014048047/0.9646631559719039/0.017668422014048047/,1/
10,3,10,1,7,6202800,528/50/452/,8.498708252910546E-5/0.9995378431668047/3.771697506661584E-4/,1/
10,3,10,1,9,5687100,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,5147800,61/50/50/,0.28723860772370124/0.3563806961381494/0.3563806961381494/,1/2/
10,3,10,1,3,4293600,145/50/125/,0.11208796192441348/0.7220028132940549/0.16590922478153172/,1/
10,3,10,1,5,4361600,310/50/272/,0.005994942949972714/0.9813758227203228/0.012629234329704373/,1/
10,3,10,1,7,5777400,650/50/577/,7.773840940674662E-6/0.9999596969989623/3.25291600970578E-5/,1/
10,3,10,1,9,5739000,1070/50/938/,2.06115356166046E-9/0.9999999705125824/2.7426264195902496E-8/,1/
10,3,10,1,1,6158500,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,6024400,110/50/110/,0.1907338293032638/0.6185323413934725/0.1907338293032638/,1/
10,3,10,1,5,4941700,254/50/254/,0.017668422014048047/0.9646631559719039/0.017668422014048047/,1/
10,3,10,1,7,6051600,528/50/452/,8.498708252910546E-5/0.9995378431668047/3.771697506661584E-4/,1/
10,3,10,1,9,5345500,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,6570300,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,5673600,129/50/129/,0.1491012173171437/0.7017975653657127/0.1491012173171437/,1/
10,3,10,1,5,5573800,254/50/254/,0.017668422014048047/0.9646631559719039/0.017668422014048047/,1/
10,3,10,1,7,5192900,528/50/452/,8.498708252910546E-5/0.9995378431668047/3.771697506661584E-4/,1/
10,3,10,1,9,5039600,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,5312500,50/50/65/,0.36427366809978134/0.36427366809978134/0.2714526638004373/,0/1/
10,3,10,1,3,5107300,110/50/135/,0.20595563113431684/0.6678952507482608/0.1261491181174223/,1/
10,3,10,1,5,8308600,209/50/266/,0.04180566160866836/0.9445218629952471/0.013672475396084566/,1/
10,3,10,1,7,9201800,478/50/570/,2.2657811765116757E-4/0.9997361153587365/3.7306523612202206E-5/,1/
10,3,10,1,9,5248400,899/50/1044/,5.892155312039876E-8/0.999999937646699/3.4317478071539935E-9/,1/
10,3,10,1,1,4236600,65/50/65/,0.2992272363964754/0.4015455272070493/0.2992272363964754/,1/
10,3,10,1,3,5695900,140/50/120/,0.12019195552539759/0.7019035324839015/0.17790451199070098/,1/
10,3,10,1,5,8853300,278/50/231/,0.010998516359094327/0.9613596865455737/0.027641797095332005/,1/
10,3,10,1,7,6365800,556/50/478/,4.9090534026452195E-5/0.9997243340184209/2.2657544755265744E-4/,1/
10,3,10,1,9,4958100,1070/50/938/,2.06115356166046E-9/0.9999999705125824/2.7426264195902496E-8/,1/
10,3,10,1,1,5779500,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,4448600,129/50/129/,0.1491012173171437/0.7017975653657127/0.1491012173171437/,1/
10,3,10,1,5,5345900,254/50/254/,0.017668422014048047/0.9646631559719039/0.017668422014048047/,1/
10,3,10,1,7,7035000,528/50/452/,8.498708252910546E-5/0.9995378431668047/3.771697506661584E-4/,1/
10,3,10,1,9,4631000,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,4435000,61/50/50/,0.28723860772370124/0.3563806961381494/0.3563806961381494/,1/2/
10,3,10,1,3,5605100,140/50/83/,0.10103555625288124/0.5900329479653725/0.3089314957817462/,1/
10,3,10,1,5,5634600,272/50/158/,0.011356421497120234/0.8824697680746899/0.10617381042818971/,1/
10,3,10,1,7,5492300,585/50/401/,2.7778476623154576E-5/0.9989475733000652/0.0010246482233117818/,1/
10,3,10,1,9,5421500,1061/50/776/,2.4589532850991075E-9/0.9999993403524337/6.571886131152611E-7/,1/
10,3,10,1,1,4482800,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,6028900,129/50/110/,0.13969830506703895/0.6575394362691891/0.20276225866377204/,1/
10,3,10,1,5,6389100,291/50/254/,0.008631738619937495/0.973537303681127/0.017830957698935467/,1/
10,3,10,1,7,6832900,528/50/452/,8.498708252910546E-5/0.9995378431668047/3.771697506661584E-4/,1/
10,3,10,1,9,5199400,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,5511300,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
10,3,10,1,3,5608800,110/50/110/,0.1907338293032638/0.6185323413934725/0.1907338293032638/,1/
10,3,10,1,5,6824100,254/50/209/,0.017237001966633803/0.9411084194958746/0.04165457853749144/,1/
10,3,10,1,7,6630800,570/50/491/,3.730842566221575E-5/0.9997870862857393/1.7560528859854026E-4/,1/
10,3,10,1,9,5797000,1121/50/985/,7.582560339415743E-10/0.9999999883289867/1.0912757219128279E-8/,1/
10,3,10,1,1,7845200,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,6740000,129/50/129/,0.1491012173171437/0.7017975653657127/0.1491012173171437/,1/
10,3,10,1,5,6637100,291/50/291/,0.008711881122977957/0.9825762377540441/0.008711881122977957/,1/
10,3,10,1,7,6782900,595/50/528/,2.285404603634691E-5/0.9998921287478147/8.501720614885435E-5/,1/
10,3,10,1,9,6287900,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,7471500,61/50/50/,0.28723860772370124/0.3563806961381494/0.3563806961381494/,1/2/
10,3,10,1,3,7718700,110/50/83/,0.16832631780109347/0.5458668336287132/0.28580684857019334/,1/
10,3,10,1,5,12930500,254/50/209/,0.017237001966633803/0.9411084194958746/0.04165457853749144/,1/
10,3,10,1,7,6270300,528/50/452/,8.498708252910546E-5/0.9995378431668047/3.771697506661584E-4/,1/
10,3,10,1,9,4825700,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,5345700,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,4885200,140/50/140/,0.1275533876101915/0.7448932247796171/0.1275533876101915/,1/
10,3,10,1,5,5686900,317/50/278/,0.00523744777856433/0.9835106162873953/0.011251935934040301/,1/
10,3,10,1,7,4813200,563/50/484/,4.279591990342116E-5/0.9997557699608035/2.0143411929309367E-4/,1/
10,3,10,1,9,4271900,1096/50/961/,1.2379563271099634E-9/0.9999999812914218/1.7470621874107885E-8/,1/
10,3,10,1,1,4767300,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,4159600,129/50/110/,0.13969830506703895/0.6575394362691891/0.20276225866377204/,1/
10,3,10,1,5,7848900,254/50/209/,0.017237001966633803/0.9411084194958746/0.04165457853749144/,1/
10,3,10,1,7,5142800,528/50/452/,8.498708252910546E-5/0.9995378431668047/3.771697506661584E-4/,1/
10,3,10,1,9,7016100,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,4840000,61/50/50/,0.28723860772370124/0.3563806961381494/0.3563806961381494/,1/2/
10,3,10,1,3,4725700,129/50/110/,0.13969830506703895/0.6575394362691891/0.20276225866377204/,1/
10,3,10,1,5,5664300,323/50/284/,0.004664679333102163/0.985313898930967/0.01002142173593086/,1/
10,3,10,1,7,7079700,696/50/620/,3.1544896921052827E-6/0.9999828459934961/1.3999516811779645E-5/,1/
10,3,10,1,9,5414200,1138/50/1000/,5.433141913782111E-10/0.9999999913246211/8.132064666838194E-9/,1/
10,3,10,1,1,4648300,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,4452600,129/50/110/,0.13969830506703895/0.6575394362691891/0.20276225866377204/,1/
10,3,10,1,5,7047200,254/50/209/,0.017237001966633803/0.9411084194958746/0.04165457853749144/,1/
10,3,10,1,7,5507100,556/50/478/,4.9090534026452195E-5/0.9997243340184209/2.2657544755265744E-4/,1/
10,3,10,1,9,6194900,1070/50/938/,2.06115356166046E-9/0.9999999705125824/2.7426264195902496E-8/,1/
10,3,10,1,1,4303100,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,5614200,129/50/110/,0.13969830506703895/0.6575394362691891/0.20276225866377204/,1/
10,3,10,1,5,5905600,291/50/254/,0.008631738619937495/0.973537303681127/0.017830957698935467/,1/
10,3,10,1,7,6443400,595/50/528/,2.285404603634691E-5/0.9998921287478147/8.501720614885435E-5/,1/
10,3,10,1,9,5109500,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,8864600,61/50/50/,0.28723860772370124/0.3563806961381494/0.3563806961381494/,1/2/
10,3,10,1,3,6245500,129/50/110/,0.13969830506703895/0.6575394362691891/0.20276225866377204/,1/
10,3,10,1,5,5538800,291/50/254/,0.008631738619937495/0.973537303681127/0.017830957698935467/,1/
10,3,10,1,7,5690700,528/50/452/,8.498708252910546E-5/0.9995378431668047/3.771697506661584E-4/,1/
10,3,10,1,9,4684600,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,4157400,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,7266000,110/50/110/,0.1907338293032638/0.6185323413934725/0.1907338293032638/,1/
10,3,10,1,5,4350800,272/50/272/,0.012546000506692712/0.9749079989866145/0.012546000506692712/,1/
10,3,10,1,7,4581500,592/50/592/,2.424016810157937E-5/0.9999515196637967/2.424016810157937E-5/,1/
10,3,10,1,9,4830100,1104/50/969/,1.0582315377922334E-9/0.9999999840075073/1.493426112630681E-8/,1/
10,3,10,1,1,4500900,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,4378200,156/50/156/,0.10008083802161331/0.7998383239567732/0.10008083802161331/,1/
10,3,10,1,5,4870100,307/50/307/,0.006395951226911915/0.9872080975461762/0.006395951226911915/,1/
10,3,10,1,7,4470900,620/50/620/,1.3999364988286689E-5/0.9999720012700233/1.3999364988286689E-5/,1/
10,3,10,1,9,4494200,1138/50/1000/,5.433141913782111E-10/0.9999999913246211/8.132064666838194E-9/,1/
10,3,10,1,1,4044000,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,4311300,129/50/110/,0.13969830506703895/0.6575394362691891/0.20276225866377204/,1/
10,3,10,1,5,6805800,291/50/254/,0.008631738619937495/0.973537303681127/0.017830957698935467/,1/
10,3,10,1,7,4622400,595/50/528/,2.285404603634691E-5/0.9998921287478147/8.501720614885435E-5/,1/
10,3,10,1,9,4646300,993/50/868/,9.328457189272423E-9/0.9999998824641129/1.0820742999459012E-7/,1/
10,3,10,1,1,4505000,65/50/65/,0.2992272363964754/0.4015455272070493/0.2992272363964754/,1/
10,3,10,1,3,7468300,140/50/120/,0.12019195552539759/0.7019035324839015/0.17790451199070098/,1/
10,3,10,1,5,6366800,272/50/225/,0.012312252641637827/0.9567442293242041/0.030943518034158082/,1/
10,3,10,1,7,8734100,556/50/478/,4.9090534026452195E-5/0.9997243340184209/2.2657544755265744E-4/,1/
10,3,10,1,9,4485400,1070/50/938/,2.06115356166046E-9/0.9999999705125824/2.7426264195902496E-8/,1/
10,3,10,1,1,4227800,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,6311600,129/50/110/,0.13969830506703895/0.6575394362691891/0.20276225866377204/,1/
10,3,10,1,5,6505000,272/50/225/,0.012312252641637827/0.9567442293242041/0.030943518034158082/,1/
10,3,10,1,7,6082200,599/50/517/,2.1129666704739092E-5/0.999873390350835/1.0547998246039743E-4/,1/
10,3,10,1,9,5951400,1096/50/961/,1.2379563271099634E-9/0.9999999812914218/1.7470621874107885E-8/,1/
10,3,10,1,1,6144900,65/50/65/,0.2992272363964754/0.4015455272070493/0.2992272363964754/,1/
10,3,10,1,3,6835600,140/50/120/,0.12019195552539759/0.7019035324839015/0.17790451199070098/,1/
10,3,10,1,5,5102900,304/50/266/,0.006727750624651565/0.9790992472534639/0.014173002121884465/,1/
10,3,10,1,7,7380700,642/50/570/,9.094055978604242E-6/0.9999535913049962/3.7314639025259285E-5/,1/
10,3,10,1,9,5330400,1061/50/930/,2.4589548222026563E-9/0.9999999654568406/3.2084204636070515E-8/,1/
10,3,10,1,1,6835700,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,5875100,110/50/110/,0.1907338293032638/0.6185323413934725/0.1907338293032638/,1/
10,3,10,1,5,6419600,254/50/254/,0.017668422014048047/0.9646631559719039/0.017668422014048047/,1/
10,3,10,1,7,8266000,542/50/372/,6.449434874507042E-5/0.9981276242594164/0.0018078813918385658/,1/
10,3,10,1,9,6606900,1053/50/776/,2.8765697067616887E-9/0.9999993399348175/6.571886128408083E-7/,1/
10,3,10,1,1,7165300,65/50/50/,0.2714526638004373/0.36427366809978134/0.36427366809978134/,1/2/
10,3,10,1,3,5765500,120/50/83/,0.14263019278001146/0.5627324176937275/0.2946373895262611/,1/
10,3,10,1,5,5454000,284/50/225/,0.009756029881666933/0.9592203675379366/0.031023602580396544/,1/
10,3,10,1,7,6361300,563/50/471/,4.27934171989957E-5/0.9996973042660481/2.599023167529387E-4/,1/
10,3,10,1,9,5027200,1036/50/891/,4.014578781430997E-9/0.9999999270569246/6.892849656172257E-8/,1/
10,3,10,1,1,5471400,65/50/65/,0.2992272363964754/0.4015455272070493/0.2992272363964754/,1/
10,3,10,1,3,5317600,125/50/125/,0.15743582961281208/0.6851283407743759/0.15743582961281208/,1/
10,3,10,1,5,8073600,278/50/231/,0.010998516359094327/0.9613596865455737/0.027641797095332005/,1/
10,3,10,1,7,5556100,606/50/523/,1.8420009991613937E-5/0.9998878059035895/9.377408641877822E-5/,1/
10,3,10,1,9,3807600,1121/50/985/,7.582560339415743E-10/0.9999999883289867/1.0912757219128279E-8/,1/
10,3,10,1,1,3515600,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
10,3,10,1,3,3751200,151/50/125/,0.10090258845827325/0.7310981636936295/0.1679992478480973/,1/
10,3,10,1,5,5092300,301/50/183/,0.006741737499680109/0.9250856320560147/0.06817263044430522/,1/
