,Goal0,Goal1,Goal2,Goal3,Goal4,Goal5
0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
1,0.19567125307663386,0.19567125307663386,0.19567125307663386,0.19567125307663386,0.1086574938467323,0.1086574938467323
2,0.2637823347926107,0.2637823347926107,0.2637823347926107,0.10703581406347519,0.05080859077934626,0.05080859077934626
3,0.30695952252173103,0.30695952252173103,0.30695952252173103,0.04405943068100368,0.0175310008769016,0.0175310008769016
4,0.14214595082977613,0.41791820227879,0.41791820227879,0.01351652723126543,0.004250558690689133,0.004250558690689133
5,0.03450864173884771,0.13615021489159693,0.8268971863636755,0.0016847243075455989,3.7961634916714126E-4,3.7961634916714126E-4
6,0.14478996782324052,0.2527109182619413,0.5166863892698347,0.04161450363283735,0.02209911050607304,0.02209911050607304
7,0.13916081119487908,0.2088560413121396,0.34434539782554924,0.23733312998943257,0.03515230983899988,0.03515230983899988
8,0.10263839906715541,0.1473566676006409,0.22780098992805708,0.2555813846276772,0.23670829517114209,0.029914263605327427
9,0.06801883824038735,0.10601921128147078,0.17793681856022137,0.32869397986193594,0.3044219817475353,0.014909170308449122
10,0.048075306312954195,0.07936368752214064,0.14104860409619477,0.3049344718995481,0.41805731309468824,0.008520617074474204
11,0.02101005659385952,0.039590492251571685,0.08031594182950057,0.23865682795937063,0.6181187541579941,0.002307927207703415
12,0,0,0,0,1,0